Name,Link
Lucky Shamrock™ - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lucky-shamrock---returning-favorite/ORCL_1632868.html
Capri Glow,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/capri-glow/ORCL_2643577.html
Lemon Gelato,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lemon-gelato/ORCL_2643574.html
Azure Sky,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/azure-sky/ORCL_2643578.html
Pistachio Latte,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/pistachio-latte/ORCL_2643569.html
Olive & Cypress,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/olive-cypress/ORCL_2643572.html
Sun Club - Lemon & White Rose,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sun-club---lemon-white-rose/ORCL_2659004.html
On the Green - Pear & Water Lily,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/on-the-green---pear-water-lily/ORCL_2659026.html
By the Pool - Amber & Coconut,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/by-the-pool---amber-coconut/ORCL_2658992.html
Lucky Sweater - Musk & Geranium,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lucky-sweater---musk-geranium/ORCL_2658996.html
Social Birdie - Melon & Spun Sugar,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/social-birdie---melon-spun-sugar/ORCL_2659001.html
Strawberry Bunny Shortcake,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/strawberry-bunny-shortcake/ORCL_2640802.html
Pink Sands™,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/pink-sands/ORCL_1205337.html
Lemon Lavender,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lemon-lavender/ORCL_1073481.html
Fresh Cut Roses,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/fresh-cut-roses/ORCL_1038367.html
Lilac Blossoms,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lilac-blossoms/ORCL_1006995.html
Vineyard® - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/vineyard---returning-favorite/ORCL_1632866.html
Sage & Citrus,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sage-citrus/ORCL_115471.html
Clean Cotton®,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/clean-cotton/ORCL_1010728.html
White Gardenia,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/white-gardenia/ORCL_1230624.html
Cherry Lemonade - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/cherry-lemonade---returning-favorite/ORCL_1731733.html
MidSummer's Night®,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/midsummers-night/ORCL_115174.html
Sun & Sand®,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sun-sand/ORCL_1106733.html
Home Sweet Home®,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/home-sweet-home/ORCL_11597.html
Coconut Beach,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/coconut-beach/ORCL_1523480.html
Macintosh,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/macintosh/ORCL_115436.html
Ocean Star™ - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/ocean-star---returning-favorite/ORCL_1731729.html
Tangerine & Vanilla,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/tangerine-vanilla/ORCL_1653332.html
Mango Peach Salsa,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/mango-peach-salsa/ORCL_1114681.html
Beach Walk®,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/beach-walk/ORCL_1129788.html
Black Cherry,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/black-cherry/ORCL_1129749.html
Belgian Waffles - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/belgian-waffles---returning-favorite/ORCL_1731731.html
Sicilian Lemon,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sicilian-lemon/ORCL_1529990.html
Balsam & Cedar,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/balsam-cedar/ORCL_1062314.html
Warm Luxe Cashmere,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/warm-luxe-cashmere/ORCL_1556004.html
New England Blueberry,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/new-england-blueberry/ORCL_1584986.html
Flowers in the Sun,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/flowers-in-the-sun/ORCL_1351652.html
Dried Lavender & Oak,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/dried-lavender-oak/ORCL_1623631.html
Midnight Jasmine,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/midnight-jasmine/ORCL_1129548.html
Meadow Showers,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/meadow-showers/ORCL_1230646.html
Vanilla Lime,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/vanilla-lime/ORCL_1106730.html
Pineapple Cilantro,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/pineapple-cilantro/ORCL_1174261.html
Bahama Breeze™,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/bahama-breeze/ORCL_1205301.html
Seaside Woods,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/seaside-woods/ORCL_1609098.html
Catching Rays™,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/catching-rays/ORCL_1351627.html
Sakura Blossom Festival,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sakura-blossom-festival/ORCL_1632334.html
Lavender Vanilla,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/lavender-vanilla/ORCL_1152864.html
Kitchen Spice™,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/kitchen-spice/ORCL_1218400.html
Buttercream®,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/buttercream/ORCL_115461.html
Cinnamon Stick,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/cinnamon-stick/ORCL_1055974.html
Chocolate Layer Cake,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/chocolate-layer-cake/ORCL_1303319.html
Soft Blanket™ - Returning Favorite,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/soft-blanket---returning-favorite/ORCL_1731732.html
Mediterranean Breeze,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/mediterranean-breeze/ORCL_1521678.html
Vanilla Cupcake,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/vanilla-cupcake/ORCL_1093707.html
French Vanilla,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/french-vanilla/ORCL_11512.html
A Calm & Quiet Place,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/a-calm-quiet-place/ORCL_1577119.html
Cucumber Mint Cooler,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/cucumber-mint-cooler/ORCL_1728839W.html
Sparkling Cinnamon,https://www.yankeecandle.com/yankee-candle/candles/candle-styles/original-jar-candles/sparkling-cinnamon/ORCL_1100952.html
